valid_frame_index,raw_frame_index,timestamp_s,time_from_start_s,normalized_time,body_height_px,shoulder_width_px,shoulder_width_m,hip_width_px,hip_width_m,knee_width_px,knee_width_m,ankle_width_px,ankle_width_m,left_video_pitch_deg,left_video_roll_deg,left_video_yaw_deg,right_video_pitch_deg,right_video_roll_deg,right_video_yaw_deg,left_sensor_pitch_deg,left_sensor_roll_deg,left_sensor_yaw_deg,right_sensor_pitch_deg,right_sensor_roll_deg,right_sensor_yaw_deg,kp_00_x_px,kp_00_y_px,kp_00_x_m,kp_00_y_m,kp_00_conf,kp_01_x_px,kp_01_y_px,kp_01_x_m,kp_01_y_m,kp_01_conf,kp_02_x_px,kp_02_y_px,kp_02_x_m,kp_02_y_m,kp_02_conf,kp_03_x_px,kp_03_y_px,kp_03_x_m,kp_03_y_m,kp_03_conf,kp_04_x_px,kp_04_y_px,kp_04_x_m,kp_04_y_m,kp_04_conf,kp_05_x_px,kp_05_y_px,kp_05_x_m,kp_05_y_m,kp_05_conf,kp_06_x_px,kp_06_y_px,kp_06_x_m,kp_06_y_m,kp_06_conf,kp_07_x_px,kp_07_y_px,kp_07_x_m,kp_07_y_m,kp_07_conf,kp_08_x_px,kp_08_y_px,kp_08_x_m,kp_08_y_m,kp_08_conf,kp_09_x_px,kp_09_y_px,kp_09_x_m,kp_09_y_m,kp_09_conf,kp_10_x_px,kp_10_y_px,kp_10_x_m,kp_10_y_m,kp_10_conf,kp_11_x_px,kp_11_y_px,kp_11_x_m,kp_11_y_m,kp_11_conf,kp_12_x_px,kp_12_y_px,kp_12_x_m,kp_12_y_m,kp_12_conf,kp_13_x_px,kp_13_y_px,kp_13_x_m,kp_13_y_m,kp_13_conf,kp_14_x_px,kp_14_y_px,kp_14_x_m,kp_14_y_m,kp_14_conf,kp_15_x_px,kp_15_y_px,kp_15_x_m,kp_15_y_m,kp_15_conf,kp_16_x_px,kp_16_y_px,kp_16_x_m,kp_16_y_m,kp_16_conf,box_x1,box_y1,box_x2,box_y2
0,51,16707.014305583,0.0,0.0,919.3656616210938,145.74566650390625,0.3116371816615183,96.54867553710938,0.20644289370161636,98.59523010253906,0.21081888999835652,85.66871643066406,0.18317908165246488,3.4762628812078162,-2.3832453191280365,4.1107683181762695,1.7382129739379195,-0.2540547847747803,0.6150304079055786,10.39306640625,53.1903076171875,-119.1522216796875,-4.405517578125,-170.0408935546875,-105.99609375,1032.8709716796875,163.76705932617188,2.112224817276001,0.33490419387817383,0.9957646131515503,1047.134033203125,150.82846069335938,2.141392707824707,0.3084447383880615,0.9949946403503418,1016.3862915039062,151.57369995117188,2.0785133838653564,0.3099687397480011,0.9964633584022522,1069.38671875,165.366943359375,2.1868996620178223,0.3381759822368622,0.873747706413269,993.511474609375,168.32107543945312,2.0317344665527344,0.3442171812057495,0.8943279981613159,1109.7802734375,261.1337585449219,2.2695045471191406,0.5340194702148438,0.9977776408195496,964.105224609375,265.6700134277344,1.971598505973816,0.5432960987091064,0.9984696507453918,1144.446533203125,378.7951354980469,2.3403971195220947,0.7746373414993286,0.991933286190033,939.09228515625,386.157470703125,1.9204469919204712,0.7896933555603027,0.9901808500289917,1168.6221923828125,486.2408752441406,2.389836549758911,0.9943642616271973,0.9899984002113342,912.00830078125,492.6639709472656,1.8650600910186768,1.0074995756149292,0.9898442029953003,1084.4757080078125,493.19915771484375,2.217756509780884,1.008594036102295,0.998053789138794,987.9430541992188,494.9577331542969,2.0203468799591064,1.0121902227401733,0.9982692003250122,1082.2994384765625,686.4734497070312,2.213306188583374,1.4038405418395996,0.9948274493217468,984.031005859375,694.494384765625,2.0123467445373535,1.4202433824539185,0.993680477142334,1067.9337158203125,885.841796875,2.1839282512664795,1.8115495443344116,0.9957233667373657,986.3663330078125,912.0313110351562,2.017122507095337,1.8651071786880493,0.990867018699646,888.251220703125,91.69219970703125,1195.5936279296875,1011.057861328125
1,52,16707.071556708,0.05725112499931129,0.013225689755286164,934.2402954101562,149.6393280029297,0.3199627101318081,99.88558959960938,0.21357797029654424,116.46707153320312,0.24903292701333998,91.90579223632812,0.19651535965311676,6.528255403116759,-0.7856168746948242,4.039670944213867,5.0668573767090095,0.19267725944519043,2.7230384349823,9.662980361267927,52.85305974869324,-115.22013389427643,-4.270762212086807,-168.7515889880124,-105.9482773297929,1027.2486572265625,166.5757293701172,2.04606556892395,0.331784188747406,0.9953914880752563,1041.8065185546875,153.46153259277344,2.075061798095703,0.30566343665122986,0.9948621392250061,1011.3038330078125,153.95541381835938,2.0143067836761475,0.3066471517086029,0.9959028363227844,1064.3433837890625,166.51036071777344,2.119950532913208,0.33165398240089417,0.883834183216095,989.0545043945312,168.6158905029297,1.9699907302856445,0.33584776520729065,0.8878904581069946,1105.90966796875,263.3582763671875,2.202741861343384,0.5245548486709595,0.9980636239051819,956.300048828125,266.3397216796875,1.9047507047653198,0.5304933190345764,0.9984075427055359,1139.323974609375,384.04742431640625,2.269296169281006,0.7649425268173218,0.9935125708580017,933.0811157226562,389.6595153808594,1.8585033416748047,0.776120662689209,0.9894764423370361,1163.974365234375,493.8860778808594,2.318394660949707,0.9837182760238647,0.9911243319511414,908.0720825195312,494.72308349609375,1.8086905479431152,0.9853854179382324,0.9892017841339111,1081.1275634765625,500.4709167480469,2.153381109237671,0.9968339204788208,0.9985994696617126,981.2459106445312,501.35736083984375,1.9544376134872437,0.9985995292663574,0.9985472559928894,1089.6302490234375,696.9047241210938,2.170316696166992,1.3880891799926758,0.9961226582527161,973.1776123046875,698.7381591796875,1.938367247581482,1.3917410373687744,0.9936105608940125,1074.95654296875,904.16259765625,2.141089677810669,1.8009036779403687,0.9957196116447449,983.2388305664062,910.039306640625,1.9584071636199951,1.8126089572906494,0.9896815419197083,881.4249267578125,91.49662017822266,1195.05322265625,1025.7369384765625
2,53,16707.148355375,0.13404979199913214,0.030967093847718983,958.9710083007812,152.23753356933594,0.32551826097263126,103.52494049072266,0.22135972519869415,130.0193328857422,0.2780107253544824,109.96321868896484,0.23512621939767755,8.62764420461528,0.8765878677368164,3.393084764480591,4.482312567051622,0.13160419464111328,2.3707590103149414,9.140639060235781,52.860703713201715,-112.85414442734618,-3.6734413178503753,-163.03657681928578,-105.73632475441867,1020.0448608398438,185.00967407226562,1.997042179107666,0.3622116446495056,0.9946190118789673,1035.340576171875,171.02645874023438,2.0269880294799805,0.33483532071113586,0.9950222969055176,1003.3846435546875,171.4016876220703,1.9644248485565186,0.33556994795799255,0.9963147044181824,1058.5860595703125,184.3469696044922,2.072498083114624,0.3609142005443573,0.8793317675590515,979.8931274414062,186.2706756591797,1.9184331893920898,0.3646804392337799,0.9108124375343323,1100.28369140625,282.2825927734375,2.1541335582733154,0.5526524186134338,0.9971370697021484,948.1287841796875,287.2976989746094,1.8562450408935547,0.5624709725379944,0.9977356195449829,1137.9012451171875,398.7510681152344,2.227781295776367,0.7806742191314697,0.9901686906814575,924.997802734375,414.7658386230469,1.8109592199325562,0.8120278716087341,0.9864952564239502,1160.19189453125,515.7900390625,2.2714219093322754,1.0098129510879517,0.9888927340507507,899.4244995117188,525.523193359375,1.7608917951583862,1.0288684368133545,0.9873756170272827,1078.5848388671875,526.6130981445312,2.111651659011841,1.0310022830963135,0.9984557628631592,975.1071166992188,529.739501953125,1.9090631008148193,1.0371230840682983,0.99853515625,1097.3182373046875,732.840087890625,2.1483278274536133,1.434753179550171,0.9958367347717285,967.4194946289062,738.4385375976562,1.8940123319625854,1.445713758468628,0.9954388737678528,1085.040771484375,937.2493896484375,2.124290943145752,1.8349453210830688,0.9957042336463928,976.3482666015625,953.918212890625,1.9114930629730225,1.8675795793533325,0.992672860622406,873.9219970703125,99.59880065917969,1192.669189453125,1058.56982421875
3,54,16707.209389875,0.1950842919977731,0.045066788156970544,946.0260620117188,156.9097442626953,0.3355085036160947,105.84740447998047,0.2263256782145478,122.835693359375,0.2626504801425992,99.89323425292969,0.2135943162934625,7.426238467739324,0.11235809326171875,3.5936708450317383,3.185674382039423,0.8272161781787872,2.4178895950317383,8.898390108694915,52.70185728806024,-113.52950867428312,-3.787801473064215,-165.00105257136303,-106.144392100512,1009.1700439453125,220.1044921875,1.9169206619262695,0.4180889427661896,0.9943729639053345,1024.1934814453125,205.52325439453125,1.9454576969146729,0.39039185643196106,0.9938758015632629,992.3954467773438,206.6949920654297,1.8850572109222412,0.3926175832748413,0.994885265827179,1048.2227783203125,217.45327758789062,1.9911013841629028,0.4130529761314392,0.8881872296333313,969.6566162109375,221.2694091796875,1.841864824295044,0.4203017055988312,0.8886937499046326,1093.3560791015625,316.511962890625,2.0768322944641113,0.601215124130249,0.9979566335678101,936.7515258789062,326.2935485839844,1.7793614864349365,0.6197952628135681,0.998015284538269,1133.338623046875,442.90521240234375,2.1527791023254395,0.8412994146347046,0.9935505390167236,915.2701416015625,457.3099365234375,1.7385575771331787,0.8686612248420715,0.9875940680503845,1157.7215576171875,566.5382080078125,2.199094533920288,1.0761405229568481,0.9907474517822266,890.0912475585938,575.2449340820312,1.6907302141189575,1.0926790237426758,0.9873558878898621,1080.642578125,567.0305786132812,2.052682876586914,1.0770758390426636,0.9986217021942139,974.9269409179688,572.3104858398438,1.8518757820129395,1.0871050357818604,0.9984691739082336,1094.679931640625,776.9617309570312,2.0793468952178955,1.475840449333191,0.9967603087425232,972.088623046875,784.7063598632812,1.8464844226837158,1.4905513525009155,0.9938998222351074,1080.9569091796875,995.03759765625,2.0532798767089844,1.8900760412216187,0.9938899278640747,981.1904296875,1000.0682373046875,1.8637733459472656,1.8996317386627197,0.9834259748458862,864.9838256835938,125.92317199707031,1188.0732421875,1071.94921875
4,55,16707.280965875,0.2666602919998695,0.06160169415162963,910.0443725585938,148.726806640625,0.31801153317831055,97.98697662353516,0.20951830656092368,110.5119400024414,0.23629950960761226,97.31595611572266,0.2080835130270373,4.082406787742542,1.2868144512176514,0.7261502146720886,3.333545115330139,1.4303682819008827,3.040421485900879,8.419912103204846,51.52435282142452,-117.75731042591802,-4.153963037826983,-169.86784899837545,-106.85004120876343,994.8311157226562,271.5993347167969,1.9936540126800537,0.5442884564399719,0.9939418435096741,1010.8950805664062,256.37493896484375,2.025846242904663,0.513778567314148,0.9948785305023193,976.8369140625,257.84844970703125,1.957593321800232,0.5167315006256104,0.9899404644966125,1036.8797607421875,269.5810546875,2.0779199600219727,0.5402438044548035,0.9218029975891113,955.439208984375,273.992919921875,1.9147120714187622,0.5490851998329163,0.7985672354698181,1082.4373779296875,370.5176696777344,2.169218063354492,0.7425220012664795,0.9983178377151489,934.506103515625,385.8800354003906,1.872761845588684,0.7733083963394165,0.9974331259727478,1125.3115234375,499.5661926269531,2.255138397216797,1.0011368989944458,0.9916245341300964,917.2150268554688,518.537841796875,1.838110327720642,1.0391563177108765,0.9810414910316467,1145.45703125,637.5418090820312,2.2955100536346436,1.277641773223877,0.9834022521972656,904.3013916015625,646.5765380859375,1.8122313022613525,1.2957473993301392,0.9794207811355591,1075.33935546875,626.5137329101562,2.1549935340881348,1.2555413246154785,0.998213529586792,977.5269165039062,632.3595581054688,1.958976149559021,1.2672563791275024,0.9981355667114258,1087.2081298828125,830.6204833984375,2.178778648376465,1.6645737886428833,0.9959530830383301,976.7034301757812,831.8855590820312,1.95732581615448,1.6671090126037598,0.9953593611717224,1084.6168212890625,1027.4267578125,2.1735856533050537,2.0589759349823,0.9805363416671753,987.3013916015625,1027.74755859375,1.9785642623901367,2.0596189498901367,0.9735649228096008,854.5818481445312,167.77532958984375,1185.427490234375,1077.8197021484375
5,56,16707.342957375,0.3286517919987091,0.07592246682569215,866.381103515625,159.98477172851562,0.3420836074662961,102.24994659423828,0.2186335000280447,89.60038757324219,0.1915858833329809,76.46910858154297,0.16350824044488468,2.1954394277791494,-0.5459910035133362,-0.46630600094795227,3.067267172293384,3.5472835302352905,4.2906084060668945,10.37167084644336,51.988023257456966,-118.27848782865553,-4.834668594039799,-170.24332792264175,-108.6526866923984,982.2257690429688,313.49957275390625,1.8298790454864502,0.5840473175048828,0.9956491589546204,998.4981079101562,297.5683898925781,1.8601943254470825,0.5543676018714905,0.9976848363876343,965.43701171875,300.83258056640625,1.798601746559143,0.5604487657546997,0.9930540919303894,1028.9942626953125,311.0072326660156,1.917008399963379,0.5794040560722351,0.9686673879623413,947.1596069335938,320.215576171875,1.764551043510437,0.5965591669082642,0.7575718760490417,1088.0335693359375,416.79254150390625,2.0269980430603027,0.7764812707901001,0.9987119436264038,929.0619506835938,434.7689514160156,1.7308353185653687,0.8099712133407593,0.9984492063522339,1127.05810546875,557.6720581054688,2.099700689315796,1.0389387607574463,0.9965127110481262,905.4910278320312,573.4465942382812,1.6869227886199951,1.0683265924453735,0.9891868233680725,1153.8009033203125,699.3815307617188,2.149522304534912,1.3029423952102661,0.9946373105049133,878.4673461914062,705.0895385742188,1.636577844619751,1.313576340675354,0.9858075380325317,1077.4727783203125,676.00048828125,2.0073235034942627,1.2593836784362793,0.9984526634216309,975.4172973632812,682.3037109375,1.817194938659668,1.2711265087127686,0.9986913800239563,1071.7987060546875,873.7227783203125,1.9967527389526367,1.6277388334274292,0.9893609881401062,982.289794921875,877.7705078125,1.8299983739852905,1.635279655456543,0.9899807572364807,1073.4085693359375,1040.8792724609375,1.9997519254684448,1.939150094985962,0.8614922761917114,996.9638671875,1042.811279296875,1.8573360443115234,1.9427493810653687,0.8431832194328308,843.26220703125,213.31826782226562,1184.3863525390625,1079.6993408203125
6,57,16707.413889875,0.3995842919975985,0.09230871667778559,839.875732421875,159.1957550048828,0.3403965113492384,101.4920425415039,0.21701292983457243,78.28514099121094,0.16739132826169967,74.58614349365234,0.15948203543149897,11.352669453194693,2.1665199995040894,-5.549298286437988,6.874321827209968,6.202620506286621,7.0440592765808105,11.71891854830953,51.373150017763614,-124.22563256284711,-6.7965883215215,42.0490268435627,-109.4227900924328,978.149658203125,325.7789001464844,1.8313170671463013,0.6099316477775574,0.9964509010314941,995.2229614257812,309.88983154296875,1.8632820844650269,0.580183744430542,0.9982187151908875,961.0658569335938,312.6401672363281,1.7993322610855103,0.585332989692688,0.9931123852729797,1025.9884033203125,324.4421081542969,1.920881986618042,0.6074289083480835,0.974125325679779,942.3199462890625,332.59490966796875,1.7642357349395752,0.6226927638053894,0.7276871204376221,1083.9949951171875,427.6696472167969,2.0294833183288574,0.8006941676139832,0.9987471103668213,925.8607177734375,446.02276611328125,1.7334202527999878,0.8350553512573242,0.9983567595481873,1125.835693359375,569.5830688476562,2.107818603515625,1.0663881301879883,0.9957857728004456,902.757080078125,585.4684448242188,1.6901650428771973,1.096129059791565,0.9879107475280762,1148.8797607421875,715.5820922851562,2.1509623527526855,1.339731216430664,0.9941698312759399,879.199462890625,725.3429565429688,1.6460598707199097,1.3580057621002197,0.9873502850532532,1073.552734375,691.7672729492188,2.0099329948425293,1.2951445579528809,0.9984976053237915,972.1851196289062,696.7913818359375,1.8201500177383423,1.3045507669448853,0.9989615678787231,1060.1165771484375,910.8301391601562,1.984777569770813,1.7052797079086304,0.9874716401100159,982.1717529296875,903.5385131835938,1.838847279548645,1.691628098487854,0.9929384589195251,1081.440185546875,1065.6351318359375,2.024700164794922,1.9951095581054688,0.5285333395004272,1007.748291015625,1054.1199951171875,1.8867323398590088,1.9735506772994995,0.6559011340141296,841.609130859375,240.12425231933594,1179.19287109375,1080.0
7,58,16707.476874458,0.4625688749983965,0.10685890331856594,848.835693359375,163.0779266357422,0.3486974718840402,104.09872436523438,0.22258660482966328,86.0069580078125,0.18390231860593176,75.8801040649414,0.16224881564041066,5.060782852260957,0.435138463973999,-2.4791219234466553,4.014296732628566,5.0436683893203735,5.781440258026123,12.590091382767177,50.78014520459613,-128.2782650547599,-6.620707826184282,91.88421070115427,-106.66168054522062,978.0767211914062,296.0750732421875,1.787588119506836,0.5411234498023987,0.9958977103233337,995.7236938476562,280.7366638183594,1.819840669631958,0.5130901336669922,0.998063862323761,961.338134765625,283.3718566894531,1.756995677947998,0.5179063677787781,0.9945237636566162,1027.47509765625,297.1642761230469,1.8778712749481201,0.543114185333252,0.9713745713233948,942.0194091796875,304.8874206542969,1.7216876745224,0.5572293996810913,0.778752326965332,1083.736572265625,403.4472961425781,1.9806979894638062,0.7373629808425903,0.9985393285751343,921.7749633789062,422.4958190917969,1.684687852859497,0.7721771597862244,0.9984809756278992,1122.6199951171875,546.8460693359375,2.0517635345458984,0.9994466304779053,0.9964284300804138,905.214111328125,564.3756713867188,1.654420256614685,1.0314847230911255,0.9882170557975769,1142.4849853515625,689.2362060546875,2.0880699157714844,1.2596869468688965,0.9953435063362122,881.2391967773438,696.9208374023438,1.6106023788452148,1.2737317085266113,0.9848659038543701,1071.7423095703125,670.1898803710938,1.958776593208313,1.2248767614364624,0.9986552000045776,967.8246459960938,676.3269653320312,1.7688508033752441,1.236093282699585,0.9988223910331726,1064.24560546875,875.0994873046875,1.9450751543045044,1.5993810892105103,0.9896305203437805,978.26220703125,873.0864868164062,1.7879270315170288,1.595702052116394,0.9889339804649353,1073.123291015625,1046.4676513671875,1.9613004922866821,1.9125832319259644,0.8203770518302917,998.2119140625,1034.3814697265625,1.8243882656097412,1.8904937505722046,0.7982796430587769,843.0772705078125,231.16427612304688,1172.348876953125,1080.0
8,59,16707.547602708,0.5332971249990806,0.12319796899552196,891.3972778320312,160.6922607421875,0.34359637890963285,104.53862762451172,0.22352721744075063,95.22371673583984,0.20360983226967186,88.92623901367188,0.19014440131732158,2.5098305672553636,0.8249307870864868,-1.993997573852539,1.6557580080196885,3.0445168018341064,3.8636021614074707,13.044864347825522,50.3087919751867,-128.36827220409438,-5.210864273002654,-59.245253933259235,-104.47366099334931,983.0974731445312,233.8986053466797,1.8234392404556274,0.4338327646255493,0.9936076402664185,999.8143310546875,219.6747589111328,1.8544455766677856,0.40745052695274353,0.9960267543792725,966.2835083007812,222.12745666503906,1.7922528982162476,0.41199976205825806,0.9907823204994202,1029.646240234375,237.50738525390625,1.9097774028778076,0.4405263066291809,0.9558759927749634,946.6842651367188,244.68727111816406,1.7559003829956055,0.45384347438812256,0.7663100957870483,1084.8079833984375,339.8724670410156,2.0120909214019775,0.6303920149803162,0.9984645843505859,925.3652954101562,359.87322998046875,1.7163581848144531,0.667489230632782,0.9983844757080078,1120.6439208984375,477.2486877441406,2.078558921813965,0.8851960301399231,0.9952774047851562,905.8890991210938,498.9408264160156,1.6802339553833008,0.925430417060852,0.9877066016197205,1137.033203125,614.1817626953125,2.1089577674865723,1.1391781568527222,0.9929545521736145,883.2421875,625.4183349609375,1.6382286548614502,1.1600196361541748,0.9851616621017456,1073.278076171875,613.3452758789062,1.9907053709030151,1.1376266479492188,0.9985696077346802,968.8786010742188,618.7373657226562,1.7970662117004395,1.147627830505371,0.9985671043395996,1071.689208984375,825.0767211914062,1.9877582788467407,1.530344009399414,0.9943693280220032,976.641357421875,819.2920532226562,1.811464548110962,1.519614577293396,0.9930332899093628,1079.06103515625,1028.069580078125,2.001431465148926,1.9068530797958374,0.9678431153297424,990.3524780273438,1021.8512573242188,1.8368958234786987,1.8953193426132202,0.9566687345504761,847.5042724609375,188.2212371826172,1166.60986328125,1079.6185302734375
9,60,16707.607704208,0.5933986249983718,0.13708212922516846,952.5485229492188,155.50497436523438,0.33250478801871924,104.70264434814453,0.22387792227283507,110.35953521728516,0.2359736337249386,96.74505615234375,0.20686279984999542,4.894929522230143,0.925796389579773,1.5211199522018433,0.43745478033579843,2.154850423336029,2.3438634872436523,13.431308765139217,49.90825843849178,-128.44475599502104,-3.8906535060931473,-164.96848813611493,-102.18950840165398,985.541015625,168.01455688476562,1.8889485597610474,0.3220270276069641,0.9925656318664551,1001.9635620117188,153.64869689941406,1.9204249382019043,0.29449254274368286,0.9953461289405823,968.8123168945312,156.20892333984375,1.856885313987732,0.29939964413642883,0.9902271032333374,1032.0084228515625,170.19671630859375,1.9780107736587524,0.32620948553085327,0.9487878084182739,950.1194458007812,177.56231689453125,1.8210573196411133,0.34032684564590454,0.7681991457939148,1081.7640380859375,272.9332275390625,2.0733754634857178,0.5231205821037292,0.9975161552429199,927.23095703125,290.2918395996094,1.7771879434585571,0.556391179561615,0.9974071383476257,1117.902587890625,406.7973937988281,2.1426408290863037,0.7796928882598877,0.9922745823860168,907.3511962890625,430.6153564453125,1.739085078239441,0.825343906879425,0.9827933311462402,1133.412841796875,533.3551025390625,2.1723687648773193,1.022261142730713,0.9907325506210327,884.8833618164062,551.35791015625,1.6960219144821167,1.0567665100097656,0.9841437339782715,1070.4818115234375,545.3411254882812,2.0517513751983643,1.0452343225479126,0.9984951019287109,965.9703369140625,551.6653442382812,1.8514381647109985,1.0573557615280151,0.998155415058136,1083.6572265625,768.8714599609375,2.0770041942596436,1.4736663103103638,0.9943441152572632,973.298583984375,768.4287109375,1.8654838800430298,1.4728177785873413,0.9885205626487732,1077.5479736328125,998.8540649414062,2.0652947425842285,1.9144651889801025,0.9855807423591614,982.1759643554688,982.6126098632812,1.882498860359192,1.8833357095718384,0.9674842357635498,853.4163818359375,125.97956085205078,1161.1329345703125,1078.528076171875
