ic_knee_distance,ic_ankle_distance,ic_hip_distance,ic_shoulder_distance,ic_knee_shoulder_width_ratio,ic_ankle_shoulder_width_ratio,ic_knee_ankle_width_ratio,ic_left_knee_medial_offset_ratio,ic_right_knee_medial_offset_ratio,ic_knee_center_ankle_center_offset_ratio,ic_left_hip_knee_ankle_frontal_angle,ic_right_hip_knee_ankle_frontal_angle,ic_shoulder_tilt_degrees,ic_hip_tilt_degrees,ic_trunk_lateral_lean_degrees,ic_left_right_ankle_y_difference_ratio,ic_left_right_knee_y_difference_ratio,ic_body_center_x_over_ankle_center_offset_ratio,kfmax_knee_distance,kfmax_ankle_distance,kfmax_hip_distance,kfmax_shoulder_distance,kfmax_knee_shoulder_width_ratio,kfmax_ankle_shoulder_width_ratio,kfmax_knee_ankle_width_ratio,kfmax_left_knee_medial_offset_ratio,kfmax_right_knee_medial_offset_ratio,kfmax_knee_center_ankle_center_offset_ratio,kfmax_left_hip_knee_ankle_frontal_angle,kfmax_right_hip_knee_ankle_frontal_angle,kfmax_shoulder_tilt_degrees,kfmax_hip_tilt_degrees,kfmax_trunk_lateral_lean_degrees,kfmax_left_right_ankle_y_difference_ratio,kfmax_left_right_knee_y_difference_ratio,kfmax_body_center_x_over_ankle_center_offset_ratio,crop_length_frames,subject_id,task_index,initial_contact_frame,max_knee_flexion_frame,takeoff_frame,total_frames
0.23682773406899238,0.20835856449642062,0.18160646581342912,0.6031446445340515,0.3926549563445919,0.3454537255443664,1.1366354660840488,7.317853164438555e-05,0.06284812314309542,-0.03138747230572552,176.36440293261563,169.79524888954526,3.681445700082321,2.975711354204577,4.301010287390341,0.10479946434244397,0.020961770508058333,-0.030046068685553887,0.2358768187266551,0.2527160647907449,0.20092434778469537,0.6069111326018737,0.38865132975141425,0.4163971481414949,0.9333669346345944,-0.03173015046842267,0.002581476315413691,-0.01715581339191818,178.08922202123438,173.21533542027757,2.2437919894601066,10.645394473616989,4.587485169229993,0.013926548045830652,0.035620831460380774,0.001736558653951111,56,1071,6,73,128,148,176
0.18897740634815055,0.18344589930254115,0.19036740465613447,0.5936825369017945,0.3183139044890093,0.3089966234477372,1.0301533425747869,-0.08330313517600409,0.07900761169734004,-0.08115537343667206,173.62628374492422,175.01169865945928,2.2170993972735777,8.663521641041463,6.224330554890031,0.07208559031925062,0.0918768320732664,-0.1024940021028831,0.34520130361633683,0.38934776163126344,0.2279979256510451,0.7334986303192675,0.4706229696244725,0.5308091188415626,0.886614326919552,0.02179069840329619,0.03836819500517115,-0.00828874830093748,132.95552389745814,134.6134762506519,1.7101812448043963,3.4174737071471735,24.875724443991473,0.016352668437082708,0.014541000769255517,-0.028066927870032593,91,1108,6,74,164,210,221
0.3094619313487227,0.31632172827923594,0.2047045583511439,0.5971275773144116,0.5182509452009091,0.5297389373672821,0.9783138611190891,0.0013382913111611042,0.012995241284113893,-0.005828474986476395,168.2634072397937,178.99268413321144,2.2156457331658572,7.113726763743439,0.031734163136846405,0.027197069020195256,0.06050590231201181,0.052263069071629045,0.309329976379902,0.4127279077983456,0.23424806262610956,0.547025659338269,0.565476173008219,0.7544946032287007,0.74947676310524,0.06394177877479228,0.12512112898651592,-0.030589675105861816,166.81743354130828,164.11245052108427,1.162555900503276,4.874582467302918,71.78515358071863,0.0030481387971566325,0.007567228343278045,0.08334972446140249,67,1111,6,36,102,126,133
0.3484751462969302,0.40134507296936967,0.2107760041339849,0.5316001293679401,0.6555211841488053,0.7549754990589627,0.8682681556764136,-0.04193691975226888,-0.05775169122857885,0.007907385738154984,174.67435347599599,175.6421619100744,0.08199825348955869,4.446144739781261,2.574823131002262,0.004398812744098536,0.017997548593793853,0.009526870508199075,0.36111844468167953,0.5092561941072196,0.2723360790338953,0.6591139371400623,0.5478847044997951,0.7726375751010742,0.7091095775766826,-0.23502893629717228,0.010441915989489906,-0.12273542614333109,127.9769820823921,135.88264162870283,1.619322701410141,5.641389241683299,49.75419250582314,0.03769654074031706,0.028739574549184032,0.05270659980571932,78,1118,6,124,201,243,347
0.2220871590649516,0.21280002352892177,0.18330574663844212,0.5410550049339193,0.4104705751535849,0.3933057112278477,1.0436425493851866,0.07749584207457734,-0.0462682765273006,0.06188205930093897,170.97556247478246,179.35044796395627,3.837661726738446,0.9023168698307984,8.574606035897219,0.12971692664489082,0.08036483644618488,0.08120538580898352,0.5003629668420296,0.3563767949256145,0.25161458589065144,0.5902550477240772,0.8477063750176197,0.6037674667920971,1.4040279108140834,0.05725016301785497,0.18659168516213911,-0.06467076107214208,133.37380151433203,118.1415801998131,3.32258411877271,6.1071481767190505,8.986194133918659,0.016473613508683083,0.023356994899118536,-0.03358285298614921,77,1121,6,179,255,286,303
0.2617019872191131,0.22696995841259954,0.20441303549325948,0.6963079895802532,0.3758422869409723,0.3259620194067011,1.1530247837618033,0.076883245841785,-0.053482667035613475,0.06518295643869924,168.8224192951652,179.83096662436287,7.687383213119375,2.706109665681737,9.445120884071912,0.04537827675869239,0.14632477067635852,0.07721575214002377,0.2668396369525452,0.27403833347213186,0.22819742635629928,0.5519552083961586,0.4834443681180458,0.4964865432983548,0.973731060073321,0.04358335918637058,-0.056674322197584365,0.050128840691977476,167.71552473357053,176.99282441033554,0.5630999157590111,11.27684569562038,2.7459188704498416,0.009120466682555135,0.01132075308258511,0.022907980526362056,83,1125,6,93,175,197,218
0.3114312050926397,0.23828529334741186,0.21134363095591552,0.6480088895607424,0.4805971185113612,0.3677191735887069,1.3069677977926384,0.07287335906459226,0.03530008490916084,0.018786637077715707,164.09864924080603,170.04633301427896,0.5034730538701808,4.476611752322157,2.8909794716945356,0.006525791236824146,0.06749015847633436,0.010843418197319824,0.41631917133341917,0.3865385864378581,0.21743473838077526,0.4352261086680748,0.9565583567757076,0.8881328089915942,1.0770442743375344,0.061826317265825256,0.0059013675153741655,0.027962474875225546,137.76401779640642,145.8150003019905,0.08145676034479266,7.708624469573948,1.5765693101200071,0.02097657712038152,0.042522733392113786,0.05063777477505672,74,1127,6,68,141,184,280
0.2632945538684085,0.3000068409170085,0.22268058821695436,0.6136774629840875,0.42904387035512764,0.48886729432458825,0.8776285002822458,0.08215450021692182,-0.06641010587932705,0.07428230304812443,165.3755537472889,177.32276515930482,11.132102568738645,7.908370767996644,7.061530624748002,0.2611049815949383,0.0010374619430742293,0.07087723414036437,0.22075270837583086,0.3041665318839909,0.22360288955715232,0.6014511862845567,0.36703345742739796,0.5057210606948318,0.7257626505076039,-0.05346928442619312,-0.08819038637006375,0.01736055097193532,169.82491835445464,174.26012881757853,6.045306265283841,4.386131526969791,1.4969890856036159,0.00048589408417173827,0.046615804361232534,0.04786993856551024,51,1129,6,110,160,182,199
0.3342345367231815,0.3885958757576586,0.21740139487702806,0.6628267813855555,0.5042562342223205,0.586270631589973,0.8601082964957182,-0.03822721804936696,-0.044744391682724635,0.003258586816678836,175.49358333924175,176.4103824823903,1.5910548972931338,5.0507930165249775,0.32407478137629653,0.01981369700206967,0.036075629469561485,0.0024900266336112652,0.34028639859391097,0.3555205474418622,0.23753633266848964,0.6193453512363304,0.5494291640594944,0.5740263436742941,0.9571497373145713,-0.022237121519627204,-0.005137194933980259,-0.008549963292823473,158.95408067865066,171.1672480912014,5.805576014651734,1.8789553308234304,8.911775459106906,0.005470127772732822,0.05542980044901978,-0.03977356024991252,78,1130,6,66,143,185,196
0.26491199306531055,0.2617751115031546,0.21690519633126895,0.6215788360535855,0.42619210581113287,0.4211454707260774,1.0119831161340873,-0.039940043727251615,0.048619696302081704,-0.044279870014666656,176.50267188320402,174.45655369148005,1.6345121730155938,15.632519733441399,8.474128368114904,0.09889999609554136,0.08292001825128496,-0.07773367542398608,0.30160384085733477,0.30954994362169225,0.237486620401316,0.5949790493550857,0.5069150605962538,0.5202703254126713,0.9743301430735566,-0.030641873385642927,0.01712592531165596,-0.023883899348649443,177.99818488612374,159.61841663064826,0.8672221682233214,10.842158380745929,30.861506459629027,0.04043020229911728,0.04189214534284511,0.0011238939162463405,71,1131,6,94,164,199,222
