side,axis,raw_mae_deg,raw_rmse_deg,bias_aligned_mae_deg,bias_aligned_rmse_deg,correlation,proxy_mean_deg,mocap_mean_deg
left,pitch,8.09125350452498,12.59532818649167,6.2417817877148725,8.886938038642244,-0.4754218137251037,7.051293799930267,1.447758253822472
left,roll,104.31305605360413,121.44299866556555,69.06777862626659,83.07900824460255,-0.23330037359123493,87.86067842335075,22.962817647050137
left,yaw,75.55571919115673,76.15193973810118,4.980783770128361,6.648257664123799,0.16759727434500848,-1.4853705226174296,-74.08348782889978
right,pitch,9.445874782396952,12.112376620931883,4.419741046371123,6.5141367800344305,0.35813158680279034,7.3503328806587085,-1.9596648992159005
right,roll,109.42050737535989,128.09458036067002,92.86422151791737,111.3336623178305,0.22347188270362683,-89.5655223534138,23.715644229228637
right,yaw,99.5291783604559,100.4204334229787,6.837604606091315,8.84771328674006,-0.11454650760104132,-1.9307314927424226,-99.3353385346873
