timestamp_s,pitch_deg,roll_deg,yaw_deg,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.07694062500013388,-7.7728271484375,-173.1280517578125,-176.165771484375,-2.01455078125,-2.61748046875,3.8233398437500004,-244.2626953125,-15.07568359375,69.091796875
0.13197437500275555,-9.931640625,-164.15771484375,170.848388671875,0.516796875,2.0958984375000003,-12.1255859375,-97.412109375,173.7060546875,7.26318359375
0.2420122090006771,-12.4090576171875,179.879150390625,160.7135009765625,18.34150390625,5.7469726562500005,-15.585253906250001,715.33203125,-0.48828125,303.1005859375
0.3475962500015157,-9.9920654296875,152.171630859375,172.79296875,-6.43125,3.502734375,-43.99951171875,212.82958984375,144.22607421875,22.705078125
0.4576249590027146,-3.087158203125,-170.0189208984375,173.6114501953125,5.9862304687500005,0.07177734375,-9.264062500000001,158.8134765625,81.6650390625,-181.45751953125
0.5675664170012169,-2.713623046875,174.5892333984375,-178.6102294921875,-7.2542968750000005,-5.072265625,4.29228515625,-362.73193359375,15.31982421875,152.64892578125
0.6759099590017286,-14.17236328125,-152.105712890625,-178.4344482421875,6.125,8.421875,-3.0050781250000003,126.28173828125,-203.7353515625,9.94873046875
0.7812130000020261,-12.5079345703125,-179.14306640625,-175.05615234375,-4.799511718750001,-4.93828125,3.0337890625000004,-172.66845703125,-65.4296875,73.1201171875
0.834262292002677,-15.0457763671875,-160.455322265625,-175.58349609375,0.73212890625,3.5984375,3.5314453125000003,235.53466796875,22.5830078125,-41.44287109375
0.9425804590027838,-12.777099609375,-173.0291748046875,-171.650390625,-1.8375000000000001,-2.85673828125,-0.52158203125,25.32958984375,20.6298828125,-47.8515625
1.0526403750009194,-20.01708984375,-157.74169921875,-171.881103515625,16.1642578125,-2.2107421875,-14.853125,-26.611328125,-228.69873046875,256.16455078125
1.161754042001121,-21.26953125,-171.8701171875,-158.466796875,12.08251953125,-6.05322265625,-20.021093750000002,-87.09716796875,100.28076171875,-190.12451171875
1.2707687090005493,-18.248291015625,175.869140625,-168.11279296875,-4.1248046875,-2.0049804687500004,-12.22607421875,-152.16064453125,-50.23193359375,65.97900390625
1.325806917000591,-13.853759765625,179.6099853515625,-171.112060546875,-1.3015625000000002,-2.41650390625,-3.3448242187500004,-65.97900390625,-6.9580078125,-16.66259765625
1.4343345000015688,-15.1611328125,-163.7237548828125,-169.7552490234375,5.455078125,2.18681640625,-14.80048828125,218.1396484375,-48.88916015625,67.2607421875
1.5439503340021474,-8.2891845703125,-175.067138671875,175.5560302734375,0.6125,0.5359375000000001,-8.938671875,-66.34521484375,-48.40087890625,106.5673828125
1.6524289170010888,-6.536865234375,-173.4906005859375,-175.242919921875,4.2205078125,0.21054687500000002,-9.03916015625,-101.6845703125,-28.74755859375,-153.564453125
1.7624655420004274,-6.39404296875,178.2806396484375,-171.1724853515625,0.06699218750000001,-0.90439453125,-9.96748046875,-63.53759765625,-13.5498046875,8.7890625
1.8725491670011252,-7.5860595703125,175.880126953125,-167.926025390625,2.851953125,-0.47851562500000006,-10.79052734375,-37.841796875,-4.39453125,-32.958984375
1.9826049170005717,-5.9271240234375,177.60498046875,-173.1500244140625,0.6220703125,-0.28232421875,-9.503320312500001,13.0615234375,-8.23974609375,3.0517578125
2.0376568749998114,-6.26220703125,-176.429443359375,-171.6668701171875,1.3876953125,0.7369140625,-9.962695312500001,103.21044921875,2.25830078125,-7.32421875
2.1476963750028517,-5.7952880859375,-177.51708984375,-172.6611328125,0.5598632812500001,0.1244140625,-9.76171875,36.56005859375,4.5166015625,3.662109375
2.257731000001513,-6.08642578125,-175.5230712890625,-173.1280517578125,1.22021484375,0.45937500000000003,-9.9052734375,-23.13232421875,-0.732421875,1.28173828125
2.3631063339998946,-6.2567138671875,-176.385498046875,-173.4466552734375,0.7943359375000001,0.401953125,-9.85263671875,-0.06103515625,6.2255859375,-5.31005859375
2.4712332090020936,-6.48193359375,-177.7642822265625,-173.1719970703125,0.8469726562500001,0.14833984375,-9.91962890625,-7.6904296875,1.77001953125,-5.92041015625
2.5262580000016897,-6.7401123046875,-178.9178466796875,-172.7545166015625,0.9857421875000001,-0.0478515625,-9.780859375,-7.9345703125,-3.47900390625,-4.5166015625
2.636281917002634,-7.261962890625,-179.58251953125,-172.3480224609375,1.59345703125,-0.04306640625,-9.68515625,4.57763671875,4.150390625,-4.0283203125
2.7947325420027482,-7.5146484375,179.82421875,-171.9964599609375,1.0958007812500001,-0.06699218750000001,-9.68994140625,7.99560546875,8.23974609375,-3.41796875
2.8466943750026985,-7.877197265625,-179.7528076171875,-171.9525146484375,1.12451171875,0.16269531250000002,-9.7138671875,0.3662109375,3.173828125,-4.2724609375
2.9552528750027705,-7.943115234375,-179.3792724609375,-172.24365234375,0.9283203125,0.45937500000000003,-9.82392578125,1.5869140625,0.8544921875,2.5634765625
3.060897125000338,-8.0419921875,-179.09912109375,-172.7105712890625,1.5025390625000001,0.6316406250000001,-9.83349609375,-15.44189453125,1.3427734375,5.859375
3.1679122090026794,-7.745361328125,-179.8516845703125,-173.0401611328125,1.2393554687500001,0.50244140625,-9.58466796875,2.25830078125,-1.28173828125,-1.708984375
3.219973375002155,-7.6190185546875,179.5989990234375,-173.2708740234375,1.5982421875000001,0.35888671875,-9.627734375000001,1.03759765625,-3.60107421875,1.40380859375
3.329533709002135,-7.7178955078125,178.83544921875,-173.5345458984375,1.5551757812500002,0.1435546875,-9.7330078125,-5.2490234375,3.2958984375,0.30517578125
3.434874459002458,-7.745361328125,179.197998046875,-173.5345458984375,1.2632812500000001,0.13398437500000002,-9.890917968750001,-10.7421875,6.8359375,-2.01416015625
3.5419147499997052,-7.6025390625,179.154052734375,-173.60595703125,0.8326171875,0.33974609375000003,-9.890917968750001,12.3291015625,-2.86865234375,-7.01904296875
3.6495408340015274,-7.5970458984375,179.285888671875,-173.6773681640625,1.36376953125,0.33017578125,-9.6373046875,-1.77001953125,-2.8076171875,5.126953125
3.759573334002198,-7.6300048828125,179.40673828125,-173.9794921875,1.44990234375,0.45458984375000006,-9.78564453125,-2.3193359375,-1.708984375,0.0
3.8696275840011367,-7.679443359375,178.956298828125,-174.04541015625,1.6078125,0.15791015625000002,-9.70908203125,2.5634765625,4.82177734375,1.03759765625
3.9200042500015115,-7.7178955078125,178.8409423828125,-174.2706298828125,1.0718750000000001,0.3541015625,-9.78564453125,-10.25390625,4.69970703125,-0.06103515625
4.077554041999974,-8.0035400390625,178.9453125,-174.4573974609375,1.18671875,0.6747070312500001,-9.75693359375,0.732421875,-1.15966796875,1.15966796875
4.132573417002277,-8.272705078125,178.1103515625,-174.6112060546875,1.41640625,0.58857421875,-9.819140625000001,9.58251953125,0.3662109375,3.7841796875
4.242631084001914,-8.76708984375,176.539306640625,-175.1715087890625,1.6700195312500001,0.46894531250000004,-9.68994140625,-19.8974609375,6.53076171875,6.34765625
4.35239995899974,-9.0142822265625,176.3250732421875,-175.770263671875,1.6125976562500002,0.64599609375,-9.54638671875,-3.5400390625,-3.11279296875,0.244140625
4.462434167002357,-8.89892578125,177.220458984375,-175.4901123046875,1.8470703125,0.7177734375,-9.76171875,20.263671875,-1.15966796875,-3.84521484375
4.569557834001898,-8.5638427734375,177.4951171875,-175.25390625,1.30634765625,0.440234375,-9.6564453125,0.48828125,1.0986328125,-5.37109375
4.624568667000858,-8.206787109375,179.2584228515625,-174.7760009765625,1.39248046875,0.40673828125000006,-9.819140625000001,10.55908203125,-7.38525390625,-5.4931640625
4.731164125001669,-7.55859375,-179.329833984375,-174.320068359375,1.1484375,0.14833984375,-9.9244140625,18.5546875,-3.41796875,-5.67626953125
4.841199000002234,-7.130126953125,-178.8629150390625,-174.00146484375,1.091015625,-0.14833984375,-9.795214843750001,-4.82177734375,-7.6904296875,-0.91552734375
4.949500292001176,-7.1466064453125,-178.670654296875,-173.990478515625,1.3589843750000001,-0.15791015625000002,-9.73779296875,3.35693359375,-3.84521484375,0.9765625
5.055875209000078,-6.8829345703125,-179.0936279296875,-174.1387939453125,1.2872070312500001,-0.2966796875,-9.7330078125,12.51220703125,6.40869140625,-0.42724609375
5.162841875000595,-6.48193359375,-178.758544921875,-174.2486572265625,0.669921875,-0.057421875000000004,-9.627734375000001,-26.85546875,-4.150390625,-0.91552734375
5.270532959002594,-6.4874267578125,-178.143310546875,-173.968505859375,1.2154296875000001,0.27275390625,-9.981835937500001,-0.732421875,-3.35693359375,-4.08935546875
5.325581625002087,-6.097412109375,-179.132080078125,-174.0618896484375,1.2632812500000001,-0.248828125,-9.8287109375,0.8544921875,0.06103515625,-0.91552734375
5.435620834003203,-5.8831787109375,-179.6759033203125,-174.2706298828125,0.9618164062500001,-0.5072265625000001,-9.742578125000001,-26.42822265625,-7.62939453125,4.69970703125
5.545694292002736,-5.9271240234375,-179.0386962890625,-174.30908203125,1.34462890625,-0.11962890625000001,-9.814355468750001,31.1279296875,3.84521484375,-3.90625
5.648081375002221,-5.482177734375,-179.3463134765625,-174.6002197265625,0.49765625,-0.10048828125,-9.8478515625,-6.4697265625,-0.42724609375,0.91552734375
5.758122041999741,-5.5535888671875,-178.6376953125,-174.5672607421875,1.2872070312500001,-0.13398437500000002,-9.699511718750001,-19.95849609375,-5.67626953125,0.30517578125
5.8110319590014115,-5.4986572265625,-179.1046142578125,-174.6881103515625,0.8708984375000001,-0.21054687500000002,-9.838281250000001,8.97216796875,4.21142578125,0.18310546875
